"cmd","attr","lhs","rhs","verbose","raw","tag","setting_source"
n,,"{""+register}D","delete the characters under the cursor until the end of the line and N-1 more lines [into register x]; synonym for ""d$""(can be undone/redone)",,"|D|		[""x]D		2  delete the characters under the cursor until the end of the line and N-1 more lines [into register x]; synonym for ""d$""
",D,builtin
n,,E,cursor forward to the end of WORD N(cursor movement command),,"|E|		E		1  cursor forward to the end of WORD N
",E,builtin
n,,F{char},cursor to the Nth occurrence of {char} to the left(cursor movement command),,"|F|		F{char}		1  cursor to the Nth occurrence of {char} to the left
",F,builtin
n,,G,"cursor to line N, default last line(cursor movement command)",,"|G|		G		1  cursor to line N, default last line
",G,builtin
n,,H,cursor to line N from top of screen(cursor movement command),,"|H|		H		1  cursor to line N from top of screen
",H,builtin
n,,I,insert text before the first CHAR on the line N times(can be undone/redone),,"|I|		I		2  insert text before the first CHAR on the line N times
",I,builtin
n,,J,Join N lines; default is 2(can be undone/redone),,"|J|		J		2  Join N lines; default is 2
",J,builtin
n,,K,lookup Keyword under the cursor with 'keywordprg',,"|K|		K		   lookup Keyword under the cursor with 'keywordprg'
",K,builtin
n,,L,cursor to line N from bottom of screen(cursor movement command),,"|L|		L		1  cursor to line N from bottom of screen
",L,builtin
n,,M,cursor to middle line of screen(cursor movement command),,"|M|		M		1  cursor to middle line of screen
",M,builtin
n,,N,repeat the latest '/' or '?' N times in opposite direction(cursor movement command),,"|N|		N		1  repeat the latest '/' or '?' N times in opposite direction
",N,builtin
n,,O,"begin a new line above the cursor and insert text, repeat N times(can be undone/redone)",,"|O|		O		2  begin a new line above the cursor and insert text, repeat N times
",O,builtin
n,,"{""+register}P",put the text [from register x] before the cursor N times(can be undone/redone),,"|P|		[""x]P		2  put the text [from register x] before the cursor N times
",P,builtin
n,,Q,"switch to ""Ex"" mode",,"|Q|		Q		   switch to ""Ex"" mode
",Q,builtin
n,,R,"enter replace mode: overtype existing characters, repeat the entered text N-1 times(can be undone/redone)",,"|R|		R		2  enter replace mode: overtype existing characters, repeat the entered text N-1 times
",R,builtin
n,,"{""+register}S","delete N lines [into register x] and start insert; synonym for ""cc"".(can be undone/redone)",,"|S|		[""x]S		2  delete N lines [into register x] and start insert; synonym for ""cc"".
",S,builtin
n,,T{char},cursor till after Nth occurrence of {char} to the left(cursor movement command),,"|T|		T{char}		1  cursor till after Nth occurrence of {char} to the left
",T,builtin
n,,U,undo all latest changes on one line(can be undone/redone),,"|U|		U		2  undo all latest changes on one line
",U,builtin
n,,V,start linewise Visual mode,,"|V|		V		   start linewise Visual mode
",V,builtin
n,,W,cursor N WORDS forward(cursor movement command),,"|W|		W		1  cursor N WORDS forward
",W,builtin
n,,"{""+register}X",delete N characters before the cursor [into register x](can be undone/redone),,"|X|		[""x]X		2  delete N characters before the cursor [into register x]
",X,builtin
n,,"{""+register}Y","yank N lines [into register x]; synonym for ""yy""",,"|Y|		[""x]Y		   yank N lines [into register x]; synonym for ""yy""
",Y,builtin
n,,ZZ,write if buffer changed and close window,,"|ZZ|		ZZ		   write if buffer changed and close window
",ZZ,builtin
n,,ZQ,close window without writing,,"|ZQ|		ZQ		   close window without writing
",ZQ,builtin
n,,[{char},square bracket command (see |[| below),,"|[|		[{char}		   square bracket command (see |[| below)
",[,builtin
n,,]{char},square bracket command (see |]| below),,"|]|		]{char}		   square bracket command (see |]| below)
",],builtin
n,,^,cursor to the first CHAR of the line(cursor movement command),,"|^|		^		1  cursor to the first CHAR of the line
",^,builtin
n,,_,cursor to the first CHAR N - 1 lines lower(cursor movement command),,"|_|		_		1  cursor to the first CHAR N - 1 lines lower
",_,builtin
