"cmd","attr","lhs","rhs","verbose","raw","tag","setting_source"
n,,<C-w><C-z>,"same as ""CTRL-W z""(window command)",,"|CTRL-W_CTRL-Z|	CTRL-W CTRL-Z	   same as ""CTRL-W z""
",CTRL-W_CTRL-Z,builtin
n,,<C-w><C-]>,"same as ""CTRL-W ]""(window command)",,"|CTRL-W_CTRL-]|	CTRL-W CTRL-]	   same as ""CTRL-W ]""
",CTRL-W_CTRL-],builtin
n,,<C-w><C-^>,"same as ""CTRL-W ^""(window command)",,"|CTRL-W_CTRL-^|	CTRL-W CTRL-^	   same as ""CTRL-W ^""
",CTRL-W_CTRL-^,builtin
n,,<C-w><C-_>,"same as ""CTRL-W _""(window command)",,"|CTRL-W_CTRL-_|	CTRL-W CTRL-_	   same as ""CTRL-W _""
",CTRL-W_CTRL-_,builtin
n,,<C-w>+,increase current window height N lines(window command),,"|CTRL-W_+|	CTRL-W +	   increase current window height N lines
",CTRL-W_+,builtin
n,,<C-w>-,decrease current window height N lines(window command),,"|CTRL-W_-|	CTRL-W -	   decrease current window height N lines
",CTRL-W_-,builtin
n,,<C-w>:,"same as |:|, edit a command line(window command)",,"|CTRL-W_:|	CTRL-W :	   same as |:|, edit a command line
",CTRL-W_:,builtin
n,,<C-w><,decrease current window width N columns(window command),,"|CTRL-W_<|	CTRL-W <	   decrease current window width N columns
",CTRL-W_<,builtin
n,,<C-w>=,make all windows the same height & width(window command),,"|CTRL-W_=|	CTRL-W =	   make all windows the same height & width
",CTRL-W_=,builtin
n,,<C-w>>,increase current window width N columns(window command),,"|CTRL-W_>|	CTRL-W >	   increase current window width N columns
",CTRL-W_>,builtin
n,,<C-w>H,move current window to the far left(window command),,"|CTRL-W_H|	CTRL-W H	   move current window to the far left
",CTRL-W_H,builtin
n,,<C-w>J,move current window to the very bottom(window command),,"|CTRL-W_J|	CTRL-W J	   move current window to the very bottom
",CTRL-W_J,builtin
n,,<C-w>K,move current window to the very top(window command),,"|CTRL-W_K|	CTRL-W K	   move current window to the very top
",CTRL-W_K,builtin
n,,<C-w>L,move current window to the far right(window command),,"|CTRL-W_L|	CTRL-W L	   move current window to the far right
",CTRL-W_L,builtin
n,,<C-w>P,go to preview window(window command),,"|CTRL-W_P|	CTRL-W P	   go to preview window
",CTRL-W_P,builtin
n,,<C-w>R,rotate windows upwards N times(window command),,"|CTRL-W_R|	CTRL-W R	   rotate windows upwards N times
",CTRL-W_R,builtin
n,,<C-w>S,"same as ""CTRL-W s""(window command)",,"|CTRL-W_S|	CTRL-W S	   same as ""CTRL-W s""
",CTRL-W_S,builtin
n,,<C-w>T,move current window to a new tab page(window command),,"|CTRL-W_T|	CTRL-W T	   move current window to a new tab page
",CTRL-W_T,builtin
n,,<C-w>W,go to N previous window (wrap around)(window command),,"|CTRL-W_W|	CTRL-W W	   go to N previous window (wrap around)
",CTRL-W_W,builtin
n,,<C-w>],split window and jump to tag under cursor(window command),,"|CTRL-W_]|	CTRL-W ]	   split window and jump to tag under cursor
",CTRL-W_],builtin
n,,<C-w>^,split current window and edit alternate file N(window command),,"|CTRL-W_^|	CTRL-W ^	   split current window and edit alternate file N
",CTRL-W_^,builtin
n,,<C-w>_,set current window height to N (default: very high)(window command),,"|CTRL-W__|	CTRL-W _	   set current window height to N (default: very high)
",CTRL-W__,builtin
n,,<C-w>b,go to bottom window(window command),,"|CTRL-W_b|	CTRL-W b	   go to bottom window
",CTRL-W_b,builtin
n,,<C-w>c,close current window (like |:close|)(window command),,"|CTRL-W_c|	CTRL-W c	   close current window (like |:close|)
",CTRL-W_c,builtin
n,,<C-w>d,split window and jump to definition under the cursor(window command),,"|CTRL-W_d|	CTRL-W d	   split window and jump to definition under the cursor
",CTRL-W_d,builtin
n,,<C-w>f,split window and edit file name under the cursor(window command),,"|CTRL-W_f|	CTRL-W f	   split window and edit file name under the cursor
",CTRL-W_f,builtin
n,,<C-w>F,split window and edit file name under the cursor and jump to the line number following the file name.(window command),,"|CTRL-W_F|	CTRL-W F	   split window and edit file name under the cursor and jump to the line number following the file name.
",CTRL-W_F,builtin
n,,<C-w>g],split window and do |:tselect| for tag under cursor(window command),,"|CTRL-W_g]|	CTRL-W g ]	   split window and do |:tselect| for tag under cursor
",CTRL-W_g],builtin
n,,<C-w>g},do a |:ptjump| to the tag under the cursor(window command),,"|CTRL-W_g}|	CTRL-W g }	   do a |:ptjump| to the tag under the cursor
",CTRL-W_g},builtin
n,,<C-w>gf,edit file name under the cursor in a new tab page(window command),,"|CTRL-W_gf|	CTRL-W g f	   edit file name under the cursor in a new tab page
",CTRL-W_gf,builtin
n,,<C-w>gF,edit file name under the cursor in a new tab page and jump to the line number following the file name.(window command),,"|CTRL-W_gF|	CTRL-W g F	   edit file name under the cursor in a new tab page and jump to the line number following the file name.
",CTRL-W_gF,builtin
n,,<C-w>gt,same as `gt`: go to next tab page(window command),,"|CTRL-W_gt|	CTRL-W g t	   same as `gt`: go to next tab page
",CTRL-W_gt,builtin
n,,<C-w>gT,same as `gT`: go to previous tab page(window command),,"|CTRL-W_gT|	CTRL-W g T	   same as `gT`: go to previous tab page
",CTRL-W_gT,builtin
n,,<C-w>g<Tab>,same as |g<Tab>|: go to last accessed tab page.(window command),,"|CTRL-W_g<Tab>|	CTRL-W g <Tab>	   same as |g<Tab>|: go to last accessed tab page.
",CTRL-W_g<Tab>,builtin
n,,<C-w>h,go to Nth left window (stop at first window)(window command),,"|CTRL-W_h|	CTRL-W h	   go to Nth left window (stop at first window)
",CTRL-W_h,builtin
n,,<C-w>i,split window and jump to declaration of identifier under the cursor(window command),,"|CTRL-W_i|	CTRL-W i	   split window and jump to declaration of identifier under the cursor
",CTRL-W_i,builtin
n,,<C-w>j,go N windows down (stop at last window)(window command),,"|CTRL-W_j|	CTRL-W j	   go N windows down (stop at last window)
",CTRL-W_j,builtin
n,,<C-w>k,go N windows up (stop at first window)(window command),,"|CTRL-W_k|	CTRL-W k	   go N windows up (stop at first window)
",CTRL-W_k,builtin
n,,<C-w>l,go to Nth right window (stop at last window)(window command),,"|CTRL-W_l|	CTRL-W l	   go to Nth right window (stop at last window)
",CTRL-W_l,builtin
n,,<C-w>n,"open new window, N lines high(window command)",,"|CTRL-W_n|	CTRL-W n	   open new window, N lines high
",CTRL-W_n,builtin
n,,<C-w>o,close all but current window (like |:only|)(window command),,"|CTRL-W_o|	CTRL-W o	   close all but current window (like |:only|)
",CTRL-W_o,builtin
n,,<C-w>p,go to previous (last accessed) window(window command),,"|CTRL-W_p|	CTRL-W p	   go to previous (last accessed) window
",CTRL-W_p,builtin
n,,<C-w>q,quit current window (like |:quit|)(window command),,"|CTRL-W_q|	CTRL-W q	   quit current window (like |:quit|)
",CTRL-W_q,builtin
n,,<C-w>r,rotate windows downwards N times(window command),,"|CTRL-W_r|	CTRL-W r	   rotate windows downwards N times
",CTRL-W_r,builtin
n,,<C-w>s,"split current window in two parts, new window N lines high(window command)",,"|CTRL-W_s|	CTRL-W s	   split current window in two parts, new window N lines high
",CTRL-W_s,builtin
n,,<C-w>t,go to top window(window command),,"|CTRL-W_t|	CTRL-W t	   go to top window
",CTRL-W_t,builtin
n,,<C-w>v,"split current window vertically, new window N columns wide(window command)",,"|CTRL-W_v|	CTRL-W v	   split current window vertically, new window N columns wide
",CTRL-W_v,builtin
n,,<C-w>w,go to N next window (wrap around)(window command),,"|CTRL-W_w|	CTRL-W w	   go to N next window (wrap around)
",CTRL-W_w,builtin
n,,<C-w>x,exchange current window with window N (default: next window)(window command),,"|CTRL-W_x|	CTRL-W x	   exchange current window with window N (default: next window)
",CTRL-W_x,builtin
n,,<C-w>z,close preview window(window command),,"|CTRL-W_z|	CTRL-W z	   close preview window
",CTRL-W_z,builtin
n,,<C-w>|,set window width to N columns(window command),,"|CTRL-W_bar|	CTRL-W |	   set window width to N columns
",CTRL-W_bar,builtin
n,,<C-w>},show tag under cursor in preview window(window command),,"|CTRL-W_}|	CTRL-W }	   show tag under cursor in preview window
",CTRL-W_},builtin
n,,<C-w><Down>,"same as ""CTRL-W j""(window command)",,"|CTRL-W_<Down>|	CTRL-W <Down>	   same as ""CTRL-W j""
",CTRL-W_<Down>,builtin
n,,<C-w><Up>,"same as ""CTRL-W k""(window command)",,"|CTRL-W_<Up>|	CTRL-W <Up>	   same as ""CTRL-W k""
",CTRL-W_<Up>,builtin
n,,<C-w><Left>,"same as ""CTRL-W h""(window command)",,"|CTRL-W_<Left>|	CTRL-W <Left>	   same as ""CTRL-W h""
",CTRL-W_<Left>,builtin
n,,<C-w>g<C-]>,split window and do |:tjump| to tag under cursor(window command),,"|CTRL-W_g_CTRL-]|		CTRL-W g CTRL-]		  split window and do |:tjump| to tag under cursor
",CTRL-W_g_CTRL-],builtin
n,,<C-w><Right>,"same as ""CTRL-W l""(window command)",,"|CTRL-W_<Right>|		CTRL-W <Right>	 	  same as ""CTRL-W l""
",CTRL-W_<Right>,builtin
n,,[<C-d>,"jump to first #define found in current and included files matching the word under the cursor, start searching at beginning of current file(can be undone/redone)",,"|[_CTRL-D|	[ CTRL-D	   jump to first #define found in current and included files matching the word under the cursor, start searching at beginning of current file
",[_CTRL-D,builtin
n,,[<C-i>,"jump to first line in current and included files that contains the word under the cursor, start searching at beginning of current file(can be undone/redone)",,"|[_CTRL-I|	[ CTRL-I	   jump to first line in current and included files that contains the word under the cursor, start searching at beginning of current file
",[_CTRL-I,builtin
n,,[#,"cursor to N previous unmatched #if, #else or #ifdef(cursor movement command)",,"|[#|		[#		1  cursor to N previous unmatched #if, #else or #ifdef
",[#,builtin
n,,[',"cursor to previous lowercase mark, on first non-blank(cursor movement command)",,"|['|		['		1  cursor to previous lowercase mark, on first non-blank
",[',builtin
n,,[(,cursor N times back to unmatched '('(cursor movement command),,"|[(|		[(		1  cursor N times back to unmatched '('
",[(,builtin
n,,[*,"same as ""[/""(cursor movement command)",,"|[star|		[*		1  same as ""[/""
",[star,builtin
n,,[`,cursor to previous lowercase mark(cursor movement command),,"|[`|		[`		1  cursor to previous lowercase mark
",[`,builtin
n,,[/,cursor to N previous start of a C comment(cursor movement command),,"|[/|		[/		1  cursor to N previous start of a C comment
",[/,builtin
n,,[D,"list all defines found in current and included files matching the word under the cursor, start searching at beginning of current file(can be undone/redone)",,"|[D|		[D		   list all defines found in current and included files matching the word under the cursor, start searching at beginning of current file
",[D,builtin
n,,[I,"list all lines found in current and included files that contain the word under the cursor, start searching at beginning of current file(can be undone/redone)",,"|[I|		[I		   list all lines found in current and included files that contain the word under the cursor, start searching at beginning of current file
",[I,builtin
n,,[P,"same as ""[p""(can be undone/redone)",,"|[P|		[P		2  same as ""[p""
",[P,builtin
n,,[[,cursor N sections backward(cursor movement command),,"|[[|		[[		1  cursor N sections backward
",[[,builtin
n,,[],cursor N SECTIONS backward(cursor movement command),,"|[]|		[]		1  cursor N SECTIONS backward
",[],builtin
n,,[c,cursor N times backwards to start of change(cursor movement command),,"|[c|		[c		1  cursor N times backwards to start of change
",[c,builtin
n,,[d,"show first #define found in current and included files matching the word under the cursor, start searching at beginning of current file(can be undone/redone)",,"|[d|		[d		   show first #define found in current and included files matching the word under the cursor, start searching at beginning of current file
",[d,builtin
n,,[f,"same as ""gf""(can be undone/redone)",,"|[f|		[f		   same as ""gf""
",[f,builtin
n,,[i,"show first line found in current and included files that contains the word under the cursor, start searching at beginning of current file(can be undone/redone)",,"|[i|		[i		   show first line found in current and included files that contains the word under the cursor, start searching at beginning of current file
",[i,builtin
n,,[m,cursor N times back to start of member function(cursor movement command),,"|[m|		[m		1  cursor N times back to start of member function
",[m,builtin
n,,[p,"like ""P"", but adjust indent to current line(can be undone/redone)",,"|[p|		[p		2  like ""P"", but adjust indent to current line
",[p,builtin
n,,[s,move to the previous misspelled word(cursor movement command),,"|[s|		[s		1  move to the previous misspelled word
",[s,builtin
n,,[z,move to start of open fold(cursor movement command),,"|[z|		[z		1  move to start of open fold
",[z,builtin
n,,[{,cursor N times back to unmatched '{'(cursor movement command),,"|[{|		[{		1  cursor N times back to unmatched '{'
",[{,builtin
n,,]<C-d>,"jump to first #define found in current and included files matching the word under the cursor, start searching at cursor position(can be undone/redone)",,"|]_CTRL-D|	] CTRL-D	   jump to first #define found in current and included files matching the word under the cursor, start searching at cursor position
",]_CTRL-D,builtin
n,,]<C-i>,"jump to first line in current and included files that contains the word under the cursor, start searching at cursor position(can be undone/redone)",,"|]_CTRL-I|	] CTRL-I	   jump to first line in current and included files that contains the word under the cursor, start searching at cursor position
",]_CTRL-I,builtin
n,,]#,cursor to N next unmatched #endif or #else(cursor movement command),,"|]#|		]#		1  cursor to N next unmatched #endif or #else
",]#,builtin
n,,]',"cursor to next lowercase mark, on first non-blank(cursor movement command)",,"|]'|		]'		1  cursor to next lowercase mark, on first non-blank
",]',builtin
n,,]),cursor N times forward to unmatched ')'(cursor movement command),,"|])|		])		1  cursor N times forward to unmatched ')'
",]),builtin
n,,]*,"same as ""]/""(cursor movement command)",,"|]star|		]*		1  same as ""]/""
",]star,builtin
n,,]`,cursor to next lowercase mark(cursor movement command),,"|]`|		]`		1  cursor to next lowercase mark
",]`,builtin
n,,]/,cursor to N next end of a C comment(cursor movement command),,"|]/|		]/		1  cursor to N next end of a C comment
",]/,builtin
n,,]D,"list all #defines found in current and included files matching the word under the cursor, start searching at cursor position(can be undone/redone)",,"|]D|		]D		   list all #defines found in current and included files matching the word under the cursor, start searching at cursor position
",]D,builtin
n,,]I,"list all lines found in current and included files that contain the word under the cursor, start searching at cursor position(can be undone/redone)",,"|]I|		]I		   list all lines found in current and included files that contain the word under the cursor, start searching at cursor position
",]I,builtin
n,,]P,"same as ""[p""(can be undone/redone)",,"|]P|		]P		2  same as ""[p""
",]P,builtin
n,,][,cursor N SECTIONS forward(cursor movement command),,"|][|		][		1  cursor N SECTIONS forward
",][,builtin
n,,]],cursor N sections forward(cursor movement command),,"|]]|		]]		1  cursor N sections forward
",]],builtin
n,,]c,cursor N times forward to start of change(cursor movement command),,"|]c|		]c		1  cursor N times forward to start of change
",]c,builtin
n,,]d,"show first #define found in current and included files matching the word under the cursor, start searching at cursor position(can be undone/redone)",,"|]d|		]d		   show first #define found in current and included files matching the word under the cursor, start searching at cursor position
",]d,builtin
n,,]f,"same as ""gf""(can be undone/redone)",,"|]f|		]f		   same as ""gf""
",]f,builtin
n,,]i,"show first line found in current and included files that contains the word under the cursor, start searching at cursor position(can be undone/redone)",,"|]i|		]i		   show first line found in current and included files that contains the word under the cursor, start searching at cursor position
",]i,builtin
n,,]m,cursor N times forward to end of member function(cursor movement command),,"|]m|		]m		1  cursor N times forward to end of member function
",]m,builtin
n,,]p,"like ""p"", but adjust indent to current line(can be undone/redone)",,"|]p|		]p		2  like ""p"", but adjust indent to current line
",]p,builtin
n,,]s,move to next misspelled word(cursor movement command),,"|]s|		]s		1  move to next misspelled word
",]s,builtin
n,,]z,move to end of open fold(cursor movement command),,"|]z|		]z		1  move to end of open fold
",]z,builtin
n,,]},cursor N times forward to unmatched '}'(cursor movement command),,"|]}|		]}		1  cursor N times forward to unmatched '}'
",]},builtin
n,,g<C-a>,only when compiled with MEM_PROFILE defined: dump a memory profile(can be undone/redone),,"|g_CTRL-A|	g CTRL-A	   only when compiled with MEM_PROFILE defined: dump a memory profile
",g_CTRL-A,builtin
n,,g<C-g>,show information about current cursor position(can be undone/redone),,"|g_CTRL-G|	g CTRL-G	   show information about current cursor position
",g_CTRL-G,builtin
n,,g<C-h>,start Select block mode(can be undone/redone),,"|g_CTRL-H|	g CTRL-H	   start Select block mode
",g_CTRL-H,builtin
n,,g<C-]>,|:tjump| to the tag under the cursor(can be undone/redone),,"|g_CTRL-]|	g CTRL-]	   |:tjump| to the tag under the cursor
",g_CTRL-],builtin
n,,g#,"like ""#"", but without using ""\<"" and ""\>""(cursor movement command)",,"|g#|		g#		1  like ""#"", but without using ""\<"" and ""\>""
",g#,builtin
n,,g$,when 'wrap' off go to rightmost character of the current line that is on the screen; when 'wrap' on go to the rightmost character of the current screen line(cursor movement command),,"|g$|		g$		1  when 'wrap' off go to rightmost character of the current line that is on the screen; when 'wrap' on go to the rightmost character of the current screen line
",g$,builtin
n,,g&,"repeat last "":s"" on all lines(can be undone/redone)",,"|g&|		g&		2  repeat last "":s"" on all lines
",g&,builtin
n,,g'{mark},like |'| but without changing the jumplist(cursor movement command),,"|g'|		g'{mark}	1  like |'| but without changing the jumplist
",g',builtin
n,,g`{mark},like |`| but without changing the jumplist(cursor movement command),,"|g`|		g`{mark}	1  like |`| but without changing the jumplist
",g`,builtin
n,,g*,"like ""*"", but without using ""\<"" and ""\>""(cursor movement command)",,"|gstar|		g*		1  like ""*"", but without using ""\<"" and ""\>""
",gstar,builtin
n,,g+,go to newer text state N times(can be undone/redone),,"|g+|		g+		   go to newer text state N times
",g+,builtin
n,,"g,",go to N newer position in change list(cursor movement command),,"|g,|		g,		1  go to N newer position in change list
","g,",builtin
n,,g-,go to older text state N times(can be undone/redone),,"|g-|		g-		   go to older text state N times
",g-,builtin
n,,g0,when 'wrap' off go to leftmost character of the current line that is on the screen; when 'wrap' on go to the leftmost character of the current screen line(cursor movement command),,"|g0|		g0		1  when 'wrap' off go to leftmost character of the current line that is on the screen; when 'wrap' on go to the leftmost character of the current screen line
",g0,builtin
n,,g8,print hex value of bytes used in UTF-8 character under the cursor(can be undone/redone),,"|g8|		g8		   print hex value of bytes used in UTF-8 character under the cursor
",g8,builtin
n,,g;,go to N older position in change list(cursor movement command),,"|g;|		g;		1  go to N older position in change list
",g;,builtin
n,,g<,display previous command output(can be undone/redone),,"|g<|		g<		   display previous command output
",g<,builtin
n,,g?,Rot13 encoding operator(can be undone/redone),,"|g?|		g?		2  Rot13 encoding operator
",g?,builtin
n,,g??,Rot13 encode current line(can be undone/redone),,"|g?g?|		g??		2  Rot13 encode current line
",g?g?,builtin
n,,g?g?,Rot13 encode current line(can be undone/redone),,"|g?g?|		g?g?		2  Rot13 encode current line
",g?g?,builtin
n,,gD,go to definition of word under the cursor in current file(cursor movement command),,"|gD|		gD		1  go to definition of word under the cursor in current file
",gD,builtin
n,,gE,go backwards to the end of the previous WORD(cursor movement command),,"|gE|		gE		1  go backwards to the end of the previous WORD
",gE,builtin
n,,gH,start Select line mode(can be undone/redone),,"|gH|		gH		   start Select line mode
",gH,builtin
n,,gI,"like ""I"", but always start in column 1(can be undone/redone)",,"|gI|		gI		2  like ""I"", but always start in column 1
",gI,builtin
n,,gJ,join lines without inserting space(can be undone/redone),,"|gJ|		gJ		2  join lines without inserting space
",gJ,builtin
n,,gN,"1,2  find the previous match with the last used search pattern and Visually select it(can be undone/redone)",,"|gN|		gN	      1,2  find the previous match with the last used search pattern and Visually select it
",gN,builtin
n,,"{""+register}gP","put the text [from register x] before the cursor N times, leave the cursor after it(can be undone/redone)",,"|gP|		[""x]gP		2  put the text [from register x] before the cursor N times, leave the cursor after it
",gP,builtin
n,,gQ,"switch to ""Ex"" mode with Vim editing(can be undone/redone)",,"|gQ|		gQ		    switch to ""Ex"" mode with Vim editing
",gQ,builtin
n,,gR,enter Virtual Replace mode(can be undone/redone),,"|gR|		gR		2  enter Virtual Replace mode
",gR,builtin
n,,gT,go to the previous tab page(can be undone/redone),,"|gT|		gT		   go to the previous tab page
",gT,builtin
n,,gU{motion},make Nmove text uppercase(can be undone/redone),,"|gU|		gU{motion}	2  make Nmove text uppercase
",gU,builtin
n,,gV,don't reselect the previous Visual area when executing a mapping or menu in Select mode(can be undone/redone),,"|gV|		gV		   don't reselect the previous Visual area when executing a mapping or menu in Select mode
",gV,builtin
n,,g],:tselect on the tag under the cursor(can be undone/redone),,"|g]|		g]		   :tselect on the tag under the cursor
",g],builtin
n,,g^,when 'wrap' off go to leftmost non-white character of the current line that is on the screen; when 'wrap' on go to the leftmost non-white character of the current screen line(cursor movement command),,"|g^|		g^		1  when 'wrap' off go to leftmost non-white character of the current line that is on the screen; when 'wrap' on go to the leftmost non-white character of the current screen line
",g^,builtin
n,,g_,cursor to the last CHAR N - 1 lines lower(cursor movement command),,"|g_|		g_		1  cursor to the last CHAR N - 1 lines lower
",g_,builtin
n,,ga,print ascii value of character under the cursor(can be undone/redone),,"|ga|		ga		   print ascii value of character under the cursor
",ga,builtin
n,,gd,go to definition of word under the cursor in current function(cursor movement command),,"|gd|		gd		1  go to definition of word under the cursor in current function
",gd,builtin
n,,ge,go backwards to the end of the previous word(cursor movement command),,"|ge|		ge		1  go backwards to the end of the previous word
",ge,builtin
n,,gf,start editing the file whose name is under the cursor(can be undone/redone),,"|gf|		gf		   start editing the file whose name is under the cursor
",gf,builtin
n,,gF,start editing the file whose name is under the cursor and jump to the line number following the filename.(can be undone/redone),,"|gF|		gF		   start editing the file whose name is under the cursor and jump to the line number following the filename.
",gF,builtin
n,,gg,"cursor to line N, default first line(cursor movement command)",,"|gg|		gg		1  cursor to line N, default first line
",gg,builtin
n,,gh,start Select mode(can be undone/redone),,"|gh|		gh		   start Select mode
",gh,builtin
n,,gi,"like ""i"", but first move to the |'^| mark(can be undone/redone)",,"|gi|		gi		2  like ""i"", but first move to the |'^| mark
",gi,builtin
n,,gj,"like ""j"", but when 'wrap' on go N screen lines down(cursor movement command)",,"|gj|		gj		1  like ""j"", but when 'wrap' on go N screen lines down
",gj,builtin
n,,gk,"like ""k"", but when 'wrap' on go N screen lines up(cursor movement command)",,"|gk|		gk		1  like ""k"", but when 'wrap' on go N screen lines up
",gk,builtin
n,,gm,go to character at middle of the screenline(cursor movement command),,"|gm|		gm		1  go to character at middle of the screenline
",gm,builtin
n,,gM,go to character at middle of the text line(cursor movement command),,"|gM|		gM		1  go to character at middle of the text line
",gM,builtin
n,,gn,"1,2  find the next match with the last used search pattern and Visually select it(can be undone/redone)",,"|gn|		gn	      1,2  find the next match with the last used search pattern and Visually select it
",gn,builtin
n,,go,cursor to byte N in the buffer(cursor movement command),,"|go|		go		1  cursor to byte N in the buffer
",go,builtin
n,,"{""+register}gp","put the text [from register x] after the cursor N times, leave the cursor after it(can be undone/redone)",,"|gp|		[""x]gp		2  put the text [from register x] after the cursor N times, leave the cursor after it
",gp,builtin
n,,gq{motion},format Nmove text(can be undone/redone),,"|gq|		gq{motion}	2  format Nmove text
",gq,builtin
n,,gr{char},virtual replace N chars with {char}(can be undone/redone),,"|gr|		gr{char}	2  virtual replace N chars with {char}
",gr,builtin
n,,gs,go to sleep for N seconds (default 1)(can be undone/redone),,"|gs|		gs		   go to sleep for N seconds (default 1)
",gs,builtin
n,,gt,go to the next tab page(can be undone/redone),,"|gt|		gt		   go to the next tab page
",gt,builtin
n,,gu{motion},make Nmove text lowercase(can be undone/redone),,"|gu|		gu{motion}	2  make Nmove text lowercase
",gu,builtin
n,,gv,reselect the previous Visual area(can be undone/redone),,"|gv|		gv		   reselect the previous Visual area
",gv,builtin
n,,gw{motion},format Nmove text and keep cursor(can be undone/redone),,"|gw|		gw{motion}	2  format Nmove text and keep cursor
",gw,builtin
n,,gx,execute application for file name under the cursor (only with |netrw| plugin)(can be undone/redone),,"|netrw-gx|	gx		   execute application for file name under the cursor (only with |netrw| plugin)
",netrw-gx,builtin
n,,g@{motion},call 'operatorfunc'(can be undone/redone),,"|g@|		g@{motion}	   call 'operatorfunc'
",g@,builtin
n,,g~{motion},swap case for Nmove text(can be undone/redone),,"|g~|		g~{motion}	2  swap case for Nmove text
",g~,builtin
n,,g<Down>,"same as ""gj""(cursor movement command)",,"|g<Down>|	g<Down>		1  same as ""gj""
",g<Down>,builtin
n,,g<End>,"same as ""g$""(cursor movement command)",,"|g<End>|	g<End>		1  same as ""g$""
",g<End>,builtin
n,,g<Home>,"same as ""g0""(cursor movement command)",,"|g<Home>|	g<Home>		1  same as ""g0""
",g<Home>,builtin
n,,g<LeftMouse>,same as <C-LeftMouse>(can be undone/redone),,"|g<LeftMouse>|	g<LeftMouse>	   same as <C-LeftMouse>
",g<LeftMouse>,builtin
n,,g<MiddleMouse>,same as <C-MiddleMouse>(can be undone/redone),,"		g<MiddleMouse>	   same as <C-MiddleMouse>
",,builtin
n,,g<RightMouse>,same as <C-RightMouse>(can be undone/redone),,"|g<RightMouse>|	g<RightMouse>	   same as <C-RightMouse>
",g<RightMouse>,builtin
n,,g<Tab>,go to the last accessed tab page.(can be undone/redone),,"|g<Tab>|	g<Tab>		   go to the last accessed tab page.
",g<Tab>,builtin
n,,g<Up>,"same as ""gk""(cursor movement command)",,"|g<Up>|		g<Up>		1  same as ""gk""
",g<Up>,builtin
n,,z<CR>,"redraw, cursor line to top of window, cursor on first non-blank(can be undone/redone)",,"|z<CR>|		z<CR>		   redraw, cursor line to top of window, cursor on first non-blank
",z<CR>,builtin
n,,z{height}<CR>,"redraw, make window {height} lines high(can be undone/redone)",,"|zN<CR>|	z{height}<CR>	   redraw, make window {height} lines high
",zN<CR>,builtin
n,,z+,"cursor on line N (default line below window), otherwise like ""z<CR>""(can be undone/redone)",,"|z+|		z+		   cursor on line N (default line below window), otherwise like ""z<CR>""
",z+,builtin
n,,z-,"redraw, cursor line at bottom of window, cursor on first non-blank(can be undone/redone)",,"|z-|		z-		   redraw, cursor line at bottom of window, cursor on first non-blank
",z-,builtin
n,,z.,"redraw, cursor line to center of window, cursor on first non-blank(can be undone/redone)",,"|z.|		z.		   redraw, cursor line to center of window, cursor on first non-blank
",z.,builtin
n,,z=,give spelling suggestions(can be undone/redone),,"|z=|		z=		   give spelling suggestions
",z=,builtin
n,,zA,open a closed fold or close an open fold recursively(can be undone/redone),,"|zA|		zA		   open a closed fold or close an open fold recursively
",zA,builtin
n,,zC,close folds recursively(can be undone/redone),,"|zC|		zC		   close folds recursively
",zC,builtin
n,,zD,delete folds recursively(can be undone/redone),,"|zD|		zD		   delete folds recursively
",zD,builtin
n,,zE,eliminate all folds(can be undone/redone),,"|zE|		zE		   eliminate all folds
",zE,builtin
n,,zF,create a fold for N lines(can be undone/redone),,"|zF|		zF		   create a fold for N lines
",zF,builtin
n,,zG,temporarily mark word as correctly spelled(can be undone/redone),,"|zG|		zG		   temporarily mark word as correctly spelled
",zG,builtin
n,,zH,when 'wrap' off scroll half a screenwidth to the right(can be undone/redone),,"|zH|		zH		   when 'wrap' off scroll half a screenwidth to the right
",zH,builtin
n,,zL,when 'wrap' off scroll half a screenwidth to the left(can be undone/redone),,"|zL|		zL		   when 'wrap' off scroll half a screenwidth to the left
",zL,builtin
n,,zM,set 'foldlevel' to zero(can be undone/redone),,"|zM|		zM		   set 'foldlevel' to zero
",zM,builtin
n,,zN,set 'foldenable'(can be undone/redone),,"|zN|		zN		   set 'foldenable'
",zN,builtin
n,,zO,open folds recursively(can be undone/redone),,"|zO|		zO		   open folds recursively
",zO,builtin
n,,zR,set 'foldlevel' to the deepest fold(can be undone/redone),,"|zR|		zR		   set 'foldlevel' to the deepest fold
",zR,builtin
n,,zW,temporarily mark word as incorrectly spelled(can be undone/redone),,"|zW|		zW		   temporarily mark word as incorrectly spelled
",zW,builtin
n,,zX,re-apply 'foldlevel'(can be undone/redone),,"|zX|		zX		   re-apply 'foldlevel'
",zX,builtin
n,,z^,"cursor on line N (default line above window), otherwise like ""z-""(can be undone/redone)",,"|z^|		z^		   cursor on line N (default line above window), otherwise like ""z-""
",z^,builtin
n,,za,"open a closed fold, close an open fold(can be undone/redone)",,"|za|		za		   open a closed fold, close an open fold
",za,builtin
n,,zb,"redraw, cursor line at bottom of window(can be undone/redone)",,"|zb|		zb		   redraw, cursor line at bottom of window
",zb,builtin
n,,zc,close a fold(can be undone/redone),,"|zc|		zc		   close a fold
",zc,builtin
n,,zd,delete a fold(can be undone/redone),,"|zd|		zd		   delete a fold
",zd,builtin
